,Name,Sectors,Assets
0,SPY,"[{'realestate': 0.0287}, {'consumer_cyclical': 0.1038}, {'basic_materials': 0.0252}, {'consumer_defensive': 0.0712}, {'technology': 0.2373}, {'communication_services': 0.0783}, {'financial_services': 0.1402}, {'utilities': 0.024500001}, {'industrials': 0.0876}, {'energy': 0.0506}, {'healthcare': 0.14729999}]",379953741824
1,IVV,"[{'realestate': 0.028800001}, {'consumer_cyclical': 0.1035}, {'basic_materials': 0.0251}, {'consumer_defensive': 0.071100004}, {'technology': 0.2367}, {'communication_services': 0.078099996}, {'financial_services': 0.1398}, {'utilities': 0.025}, {'industrials': 0.0874}, {'energy': 0.0504}, {'healthcare': 0.147}]",307341295616
2,VTI,"[{'realestate': 0.0358}, {'consumer_cyclical': 0.1043}, {'basic_materials': 0.027}, {'consumer_defensive': 0.0646}, {'technology': 0.2288}, {'communication_services': 0.0712}, {'financial_services': 0.139}, {'utilities': 0.0229}, {'industrials': 0.097399995}, {'energy': 0.049000002}, {'healthcare': 0.1447}]",1240766349312
3,VOO,"[{'realestate': 0.0287}, {'consumer_cyclical': 0.1035}, {'basic_materials': 0.0251}, {'consumer_defensive': 0.071100004}, {'technology': 0.2369}, {'communication_services': 0.078099996}, {'financial_services': 0.13949999}, {'utilities': 0.024300002}, {'industrials': 0.087299995}, {'energy': 0.0505}, {'healthcare': 0.1471}]",792293736448
4,QQQ,"[{'realestate': 0.0026}, {'consumer_cyclical': 0.1582}, {'basic_materials': 0}, {'consumer_defensive': 0.0612}, {'technology': 0.4743}, {'communication_services': 0.16520001}, {'financial_services': 0.0077}, {'utilities': 0.0088}, {'industrials': 0.0429}, {'energy': 0.0047999998}, {'healthcare': 0.0691}]",156032040960
5,VEA,"[{'realestate': 0.0355}, {'consumer_cyclical': 0.1025}, {'basic_materials': 0.083000004}, {'consumer_defensive': 0.0801}, {'technology': 0.09729999}, {'communication_services': 0.044099998}, {'financial_services': 0.1886}, {'utilities': 0.0321}, {'industrials': 0.1531}, {'energy': 0.0541}, {'healthcare': 0.1028}]",161656864768
6,VTV,"[{'realestate': 0.0321}, {'consumer_cyclical': 0.0251}, {'basic_materials': 0.0291}, {'consumer_defensive': 0.109}, {'technology': 0.0845}, {'communication_services': 0.044299997}, {'financial_services': 0.2057}, {'utilities': 0.0537}, {'industrials': 0.1248}, {'energy': 0.081599995}, {'healthcare': 0.2052}]",155134754816
7,IEFA,"[{'realestate': 0.038399998}, {'consumer_cyclical': 0.111899994}, {'basic_materials': 0.080699995}, {'consumer_defensive': 0.0932}, {'technology': 0.0857}, {'communication_services': 0.0479}, {'financial_services': 0.17860001}, {'utilities': 0.0325}, {'industrials': 0.1597}, {'energy': 0.044699997}, {'healthcare': 0.120699994}]",96542507008
8,BND,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",289305526272
9,AGG,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",86744793088
10,VUG,"[{'realestate': 0.0252}, {'consumer_cyclical': 0.1808}, {'basic_materials': 0.0197}, {'consumer_defensive': 0.028299998}, {'technology': 0.4055}, {'communication_services': 0.113900006}, {'financial_services': 0.0712}, {'utilities': 0}, {'industrials': 0.047199998}, {'energy': 0.0161}, {'healthcare': 0.0887}]",146696994816
11,VWO,"[{'realestate': 0.029000001}, {'consumer_cyclical': 0.1363}, {'basic_materials': 0.0917}, {'consumer_defensive': 0.0622}, {'technology': 0.1554}, {'communication_services': 0.0958}, {'financial_services': 0.1989}, {'utilities': 0.0378}, {'industrials': 0.0728}, {'energy': 0.049099997}, {'healthcare': 0.0469}]",101097054208
12,IJR,"[{'realestate': 0.0917}, {'consumer_cyclical': 0.1389}, {'basic_materials': 0.0571}, {'consumer_defensive': 0.0538}, {'technology': 0.13149999}, {'communication_services': 0.024400001}, {'financial_services': 0.162}, {'utilities': 0.018}, {'industrials': 0.16620001}, {'energy': 0.0433}, {'healthcare': 0.1067}]",71258955776
13,IEMG,"[{'realestate': 0.0252}, {'consumer_cyclical': 0.13520001}, {'basic_materials': 0.0919}, {'consumer_defensive': 0.060599998}, {'technology': 0.19229999}, {'communication_services': 0.0992}, {'financial_services': 0.19790001}, {'utilities': 0.0234}, {'industrials': 0.072}, {'energy': 0.044099998}, {'healthcare': 0.0493}]",71777419264
14,IJH,"[{'realestate': 0.0888}, {'consumer_cyclical': 0.1494}, {'basic_materials': 0.056700002}, {'consumer_defensive': 0.039}, {'technology': 0.12979999}, {'communication_services': 0.020299999}, {'financial_services': 0.1459}, {'utilities': 0.0369}, {'industrials': 0.19049999}, {'energy': 0.042600002}, {'healthcare': 0.0987}]",69729599488
15,VIG,"[{'realestate': 0}, {'consumer_cyclical': 0.0915}, {'basic_materials': 0.0456}, {'consumer_defensive': 0.1346}, {'technology': 0.16350001}, {'communication_services': 0.0184}, {'financial_services': 0.21110001}, {'utilities': 0.03}, {'industrials': 0.1494}, {'energy': 0.0014}, {'healthcare': 0.1511}]",78617649152
16,IWF,"[{'realestate': 0.0167}, {'consumer_cyclical': 0.1499}, {'basic_materials': 0.0124}, {'consumer_defensive': 0.0623}, {'technology': 0.3943}, {'communication_services': 0.0708}, {'financial_services': 0.0719}, {'utilities': 0.00059999997}, {'industrials': 0.081099994}, {'energy': 0.0161}, {'healthcare': 0.121800005}]",60480094208
17,IWM,"[{'realestate': 0.0776}, {'consumer_cyclical': 0.108100004}, {'basic_materials': 0.0432}, {'consumer_defensive': 0.040599998}, {'technology': 0.1398}, {'communication_services': 0.026199998}, {'financial_services': 0.1525}, {'utilities': 0.0348}, {'industrials': 0.1498}, {'energy': 0.0645}, {'healthcare': 0.16510001}]",55622516736
18,GLD,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",56705761280
19,VO,"[{'realestate': 0.0904}, {'consumer_cyclical': 0.1008}, {'basic_materials': 0.049000002}, {'consumer_defensive': 0.0388}, {'technology': 0.1713}, {'communication_services': 0.0382}, {'financial_services': 0.1289}, {'utilities': 0.0512}, {'industrials': 0.1329}, {'energy': 0.056500003}, {'healthcare': 0.1165}]",147457671168
20,VXUS,"[{'realestate': 0.034}, {'consumer_cyclical': 0.1116}, {'basic_materials': 0.0849}, {'consumer_defensive': 0.0753}, {'technology': 0.112799995}, {'communication_services': 0.0577}, {'financial_services': 0.1926}, {'utilities': 0.0335}, {'industrials': 0.13270001}, {'energy': 0.053200003}, {'healthcare': 0.0888}]",374129917952
21,IWD,"[{'realestate': 0.0494}, {'consumer_cyclical': 0.0627}, {'basic_materials': 0.0402}, {'consumer_defensive': 0.0706}, {'technology': 0.083500005}, {'communication_services': 0.0801}, {'financial_services': 0.20629999}, {'utilities': 0.0594}, {'industrials': 0.1039}, {'energy': 0.082399994}, {'healthcare': 0.16479999}]",53740429312
22,VYM,"[{'realestate': 0.0001}, {'consumer_cyclical': 0.066199996}, {'basic_materials': 0.040700004}, {'consumer_defensive': 0.1333}, {'technology': 0.0784}, {'communication_services': 0.0378}, {'financial_services': 0.2083}, {'utilities': 0.0727}, {'industrials': 0.103}, {'energy': 0.107200004}, {'healthcare': 0.1526}]",63751376896
23,EFA,"[{'realestate': 0.0273}, {'consumer_cyclical': 0.1082}, {'basic_materials': 0.0801}, {'consumer_defensive': 0.0996}, {'technology': 0.0847}, {'communication_services': 0.049000002}, {'financial_services': 0.1892}, {'utilities': 0.033800002}, {'industrials': 0.14840001}, {'energy': 0.0478}, {'healthcare': 0.129}]",48804282368
24,BNDX,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0.0104}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",82372321280
25,SCHD,"[{'realestate': 0}, {'consumer_cyclical': 0.0758}, {'basic_materials': 0.0229}, {'consumer_defensive': 0.13270001}, {'technology': 0.1612}, {'communication_services': 0.0592}, {'financial_services': 0.2171}, {'utilities': 0.0037}, {'industrials': 0.1618}, {'energy': 0.056199998}, {'healthcare': 0.108500004}]",46970138624
26,VB,"[{'realestate': 0.088599995}, {'consumer_cyclical': 0.1247}, {'basic_materials': 0.045700002}, {'consumer_defensive': 0.04}, {'technology': 0.1478}, {'communication_services': 0.0232}, {'financial_services': 0.137}, {'utilities': 0.0219}, {'industrials': 0.18049999}, {'energy': 0.0495}, {'healthcare': 0.1167}]",124368928768
27,VGT,"[{'realestate': 0}, {'consumer_cyclical': 0.00029999999}, {'basic_materials': 0.0001}, {'consumer_defensive': 0}, {'technology': 0.8943}, {'communication_services': 0.0013}, {'financial_services': 0.0747}, {'utilities': 0}, {'industrials': 0.0223}, {'energy': 0}, {'healthcare': 0}]",48795742208
28,XLK,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0.8854}, {'communication_services': 0}, {'financial_services': 0.088199995}, {'utilities': 0}, {'industrials': 0.0232}, {'energy': 0}, {'healthcare': 0}]",40827580416
29,ITOT,"[{'realestate': 0.0359}, {'consumer_cyclical': 0.10609999}, {'basic_materials': 0.0272}, {'consumer_defensive': 0.0648}, {'technology': 0.23200001}, {'communication_services': 0.0719}, {'financial_services': 0.1412}, {'utilities': 0.0299}, {'industrials': 0.096}, {'energy': 0.0499}, {'healthcare': 0.1445}]",41109778432
30,VCSH,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",48588156928
31,VCIT,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",42594258944
32,XLV,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0.9992}]",40890568704
33,XLE,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0.9926}, {'healthcare': 0}]",42445213696
34,LQD,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",39530442752
35,BSV,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",64980701184
36,VNQ,"[{'realestate': 0.9859}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0.0007}, {'communication_services': 0.0068}, {'financial_services': 0.00029999999}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",69620342784
37,RSP,"[{'realestate': 0.0622}, {'consumer_cyclical': 0.119799994}, {'basic_materials': 0.0444}, {'consumer_defensive': 0.0677}, {'technology': 0.1444}, {'communication_services': 0.0464}, {'financial_services': 0.1426}, {'utilities': 0.0557}, {'industrials': 0.142}, {'energy': 0.0477}, {'healthcare': 0.1263}]",36371681280
38,VEU,"[{'realestate': 0.0274}, {'consumer_cyclical': 0.111499995}, {'basic_materials': 0.0833}, {'consumer_defensive': 0.080299996}, {'technology': 0.1114}, {'communication_services': 0.060700003}, {'financial_services': 0.2019}, {'utilities': 0.0325}, {'industrials': 0.1278}, {'energy': 0.0546}, {'healthcare': 0.091800004}]",52077596672
39,XLF,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0.9974}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",33721608192
40,MUB,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",32391526400
41,SCHX,"[{'realestate': 0.0324}, {'consumer_cyclical': 0.1035}, {'basic_materials': 0.0255}, {'consumer_defensive': 0.0674}, {'technology': 0.241}, {'communication_services': 0.0763}, {'financial_services': 0.1399}, {'utilities': 0.023699999}, {'industrials': 0.0889}, {'energy': 0.049099997}, {'healthcare': 0.1447}]",31246256128
42,IXUS,"[{'realestate': 0.033299997}, {'consumer_cyclical': 0.1142}, {'basic_materials': 0.0881}, {'consumer_defensive': 0.0801}, {'technology': 0.113900006}, {'communication_services': 0.060300004}, {'financial_services': 0.19440001}, {'utilities': 0.0295}, {'industrials': 0.1314}, {'energy': 0.0554}, {'healthcare': 0.091800004}]",31535441920
43,TLT,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",31215185920
44,SCHF,"[{'realestate': 0.028499998}, {'consumer_cyclical': 0.1013}, {'basic_materials': 0.0833}, {'consumer_defensive': 0.089499995}, {'technology': 0.096099995}, {'communication_services': 0.045900002}, {'financial_services': 0.19319999}, {'utilities': 0.0309}, {'industrials': 0.14899999}, {'energy': 0.053200003}, {'healthcare': 0.1088}]",30812071936
45,USMV,"[{'realestate': 0.0127}, {'consumer_cyclical': 0.052699998}, {'basic_materials': 0.028499998}, {'consumer_defensive': 0.1258}, {'technology': 0.1758}, {'communication_services': 0.074}, {'financial_services': 0.1236}, {'utilities': 0.075}, {'industrials': 0.1192}, {'energy': 0.0050999997}, {'healthcare': 0.2002}]",30539827200
46,DIA,"[{'realestate': 0}, {'consumer_cyclical': 0.1389}, {'basic_materials': 0.0115}, {'consumer_defensive': 0.0672}, {'technology': 0.1491}, {'communication_services': 0.029000001}, {'financial_services': 0.21290001}, {'utilities': 0}, {'industrials': 0.1524}, {'energy': 0.0336}, {'healthcare': 0.2047}]",30255505408
47,IVW,"[{'realestate': 0.0107}, {'consumer_cyclical': 0.098500006}, {'basic_materials': 0.0242}, {'consumer_defensive': 0.0718}, {'technology': 0.3103}, {'communication_services': 0.0698}, {'financial_services': 0.0754}, {'utilities': 0.00059999997}, {'industrials': 0.0523}, {'energy': 0.08189999}, {'healthcare': 0.19770001}]",29313853440
48,IWR,"[{'realestate': 0.081999995}, {'consumer_cyclical': 0.1284}, {'basic_materials': 0.0517}, {'consumer_defensive': 0.0378}, {'technology': 0.1591}, {'communication_services': 0.0363}, {'financial_services': 0.1367}, {'utilities': 0.0581}, {'industrials': 0.1548}, {'energy': 0.0504}, {'healthcare': 0.105900005}]",29186742272
