Symbol,Nome dell'azienda,Ultimo prezzo,Variazione,% variazione,Volume
IG.MI,Italgas S.p.A.,"5,49","-0,01","-0,09%",849.158
SRG.MI,Snam S.p.A.,"4,7400","0,0060","+0,13%",4.208.699
CPR.MI,Davide Campari-Milano N.V.,"9,65","-0,02","-0,17%",2.763.147
G.MI,Assicurazioni Generali,"17,94","0,03","+0,20%",2.477.248
LDO.MI,Leonardo S.p.a.,"9,55","-0,02","-0,21%",3.172.185
BMED.MI,Banca Mediolanum S.p.A.,"8,70","0,02","+0,23%",1.081.000
AMP.MI,Amplifon S.p.A.,"25,74","-0,06","-0,23%",436.121
TRN.MI,Terna - Rete Elettrica Nazionale Società per Azioni,"7,29","-0,02","-0,27%",2.329.536
AZM.MI,Azimut Holding S.p.A.,"23,06","0,07","+0,30%",416.419
MB.MI,Mediobanca Banca di Credito Finanziario S.p.A.,"9,90","0,04","+0,36%",1.814.149
UNI.MI,Unipol Gruppo S.p.A.,"4,8560","-0,0200","-0,41%",1.163.193
IP.MI,Interpump Group SpA,"48,74","0,20","+0,41%",161.923
FBK.MI,FinecoBank Banca Fineco S.p.A.,"16,42","0,07","+0,43%",1.570.176
REC.MI,Recordati Industria Chimica e Farmaceutica S.p.A.,"40,76","0,19","+0,47%",133.878
PRY.MI,Prysmian S.p.A.,"37,50","0,18","+0,48%",486.475
DIA.MI,DiaSorin S.p.A.,"124,45","0,60","+0,48%",55.617
ENI.MI,Eni S.p.A.,"14,29","0,09","+0,66%",9.212.936
BAMI.MI,Banco BPM S.p.A.,"4,0350","0,0270","+0,67%",12.439.539
TIT.MI,Telecom Italia SpA,"0,2541","-0,0018","-0,70%",125.676.668
PST.MI,Poste Italiane S.p.A.,"9,78","0,08","+0,78%",1.629.771
UCG.MI,UniCredit S.p.A.,"15,89","0,15","+0,97%",14.132.409
PIRC.MI,Pirelli & C. S.p.A.,"4,5840","-0,0580","-1,25%",1.766.336
BPE.MI,BPER Banca SpA,"2,4310","0,0370","+1,55%",11.563.852
CNHI.MI,CNH Industrial N.V.,"16,17","0,27","+1,73%",2.394.625
TEN.MI,Tenaris S.A.,"16,47","0,36","+2,27%",3.068.786
RACE.MI,Ferrari N.V.,"232,70","5,20","+2,29%",473.57
STM.MI,STMicroelectronics N.V.,"43,66","0,99","+2,32%",5.211.747
MONC.MI,Moncler S.p.A.,"57,78","1,34","+2,37%",1.014.541
BZU.MI,Buzzi Unicem S.p.A.,"20,49","0,49","+2,45%",618.405
SPM.MI,Saipem SpA,"1,3920","0,0600","+4,50%",56.980.689